date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC
2015-02-13,1200,-0,6,304,Moderate snow,0.1,98,5,1026,85,-0,-1,-3,9,-3

2015-02-14,0,-2,6,218,Ice pellets,0.1,97,8,1027,76,-2,-2,-5,10,-5

2015-02-14,1200,-2,13,231,Moderate snow,0.2,94,5,1024,92,-2,-3,-7,18,-7

2015-02-15,0,-4,12,261,Moderate snow,0.2,97,5,1020,91,-4,-5,-9,18,-9

2015-02-15,1200,-5,26,330,Blizzard,1.0,92,0,1019,100,-5,-6,-14,39,-14

2015-02-16,0,-13,16,3,Patchy moderate snow,0.1,94,7,1035,69,-13,-13,-22,28,-22

2015-02-16,1200,-10,15,342,Sunny,0.0,93,10,1041,11,-10,-11,-18,22,-18

2015-02-17,0,-12,14,327,Clear,0.0,92,10,1042,2,-12,-13,-20,24,-20

2015-02-17,1200,-7,10,316,Sunny,0.0,90,10,1042,0,-7,-9,-13,12,-13

2015-02-18,0,-12,10,253,Clear,0.0,87,10,1038,6,-12,-13,-18,20,-18

2015-02-18,1200,-5,20,216,Sunny,0.0,88,10,1025,2,-5,-7,-12,36,-12

2015-02-19,0,-3,12,311,Heavy snow,1.1,97,2,1017,100,-3,-3,-8,18,-8

2015-02-19,1200,-2,3,302,Mist,0.0,95,2,1019,42,-2,-2,-4,5,-4

2015-02-20,0,-4,15,218,Overcast,0.0,97,10,1016,100,-4,-4,-9,23,-9

2015-02-20,1200,1,14,238,Overcast,0.0,100,10,1012,100,1,1,-4,23,-4

2015-02-21,0,-1,13,243,Overcast,0.1,96,10,1011,100,-1,-2,-6,22,-6

2015-02-21,1200,-0,11,247,Overcast,0.1,97,10,1013,92,-0,-1,-5,17,-5

2015-02-22,0,-0,13,194,Light drizzle,0.2,98,2,1014,100,-0,-0,-5,21,-5

2015-02-22,1200,0,16,204,Moderate snow,0.2,96,5,1015,100,0,-1,-5,27,-5

2015-02-23,0,0,10,205,Moderate snow,0.1,98,5,1016,100,0,0,-4,15,-4

